EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
  739,190810,REIMS-PRUNAY                            ,FR,+49:12:35,+004:09:19,  95, QQ5,20120508,20191231,   72,Anatoly V. Tsvetkov                               
  740,104052,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143, RR9,19450801,20201231,   10,Jean-Michel Soubeyroux                            
  740,104053,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143, TG5,19460101,20201231,   10,Jean-Michel Soubeyroux                            
  740,104054,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143, TN2,19460101,20201231,   10,Jean-Michel Soubeyroux                            
  740,104055,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143, TX6,19460101,20201231,   10,Jean-Michel Soubeyroux                            
  740,176113,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143,PP23,19910410,20201231,   10,Jean-Michel Soubeyroux                            
  740,176114,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143,HU13,19490101,20201231,   10,Jean-Michel Soubeyroux                            
  740,176115,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143,FG12,19490101,20201231,   10,Jean-Michel Soubeyroux                            
  740,190824,ALENCON                                 ,FR,+48:26:44,+000:06:37, 143, QQ5,20100602,20191231,   72,Anatoly V. Tsvetkov                               
  741,104944,NANCY-ESSEY                             ,FR,+48:41:16,+006:13:17, 212, SS1,19500101,20050101,   10,Jean-Michel Soubeyroux                            
  741,190818,NANCY-ESSEY                             ,FR,+48:41:16,+006:13:17, 212, QQ5,19671001,20191231,   72,Anatoly V. Tsvetkov                               
  741,210070,NANCY-ESSEY                             ,FR,+48:41:16,+006:13:17, 212, QQ6,19500101,20050101,   10,Jean-Michel Soubeyroux                            
  742,104060,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26, RR9,19450501,20201231,   10,Jean-Michel Soubeyroux                            
  742,104061,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26, TG5,19450501,20201231,   10,Jean-Michel Soubeyroux                            
  742,104062,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26, TN2,19450501,20201231,   10,Jean-Michel Soubeyroux                            
  742,104063,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26, TX6,19450501,20201231,   10,Jean-Michel Soubeyroux                            
  742,175663,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26,PP23,19500101,20201231,   10,Jean-Michel Soubeyroux                            
  742,175664,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26,HU13,19460101,20201231,   10,Jean-Michel Soubeyroux                            
  742,175665,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26,FG12,19460101,20201231,   10,Jean-Michel Soubeyroux                            
  742,190842,NANTES-BOUGUENAIS                       ,FR,+47:09:00,-001:36:32,  26, QQ5,19860301,20191231,   72,Anatoly V. Tsvetkov                               
  744,104931,ORLEANS                                 ,FR,+47:59:26,+001:46:41, 123, SS1,19490701,20050101,   10,Jean-Michel Soubeyroux                            
  744,190829,ORLEANS                                 ,FR,+47:59:26,+001:46:41, 123, QQ5,20100826,20191231,   72,Anatoly V. Tsvetkov                               
  744,210071,ORLEANS                                 ,FR,+47:59:26,+001:46:41, 123, QQ6,19490706,20050101,   10,Jean-Michel Soubeyroux                            
  745,104072,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219, RR9,19210529,20201231,   10,Jean-Michel Soubeyroux                            
  745,104073,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219, TG5,19210529,20201231,   10,Jean-Michel Soubeyroux                            
  745,104074,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219, TN2,19210529,20201231,   10,Jean-Michel Soubeyroux                            
  745,104075,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219, TX6,19210529,20201231,   10,Jean-Michel Soubeyroux                            
  745,175632,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219,PP23,19840101,20201231,   10,Jean-Michel Soubeyroux                            
  745,175633,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219,HU13,19210529,20201231,   10,Jean-Michel Soubeyroux                            
  745,175634,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219,FG12,19210601,20201231,   10,Jean-Michel Soubeyroux                            
  745,190840,DIJON-LONGVIC                           ,FR,+47:16:04,+005:05:18, 219, QQ5,19761001,20191231,   72,Anatoly V. Tsvetkov                               
  746,219106,LANGRES                                 ,FR,+47:50:37,+005:20:15, 466, QQ5,20180101,20191231,   72,Anatoly V. Tsvetkov                               
  747,104903,BESANCON                                ,FR,+47:14:56,+005:59:19, 307, SS1,19310702,20050101,   10,Jean-Michel Soubeyroux                            
  747,190841,BESANCON                                ,FR,+47:14:56,+005:59:19, 307, QQ5,19910801,20191231,   72,Anatoly V. Tsvetkov                               
  747,210072,BESANCON                                ,FR,+47:14:56,+005:59:19, 307, QQ6,19310702,20050101,   10,Jean-Michel Soubeyroux                            
  748,190851,LA ROCHELLE AERODROME                   ,FR,+46:10:40,-001:11:34,  20, QQ5,19720101,20191231,   72,Anatoly V. Tsvetkov                               
